Mfg_Part_Num,Part_Desc,E1_Brand,Unilog_Brand,DIB_Brand,Part_Manuf
C25DNF340A,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
SS49E,LINEAR HALL EFFECT SENSOR 3-PIN RADIAL,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
341N01,VALVE SOLENOID 2-WAY NC 1/4 NPT BRASS 120V,PARKER,Parker Hannifin,PARKER,Parker Hannifin
5069-IB16,COMPACT 5000 16PT 24VDC INPUT MODULE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
ATV320U15N4B,ALTIVAR 320 VFD 2HP 480V 3PH COMPACT,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3VA5110-4EC31-0AA0,MOLDED CASE CIR BRKR 100A 3P 480V 25KA,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
PSG240E24RM,POWER SUPPLY 24VDC 10A 240W DIN RAIL,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
S203-C20,MINIATURE CIR BRKR 20A 3P 480Y/277V C CURVE,ABB,,BALDOR,ABB Inc
24PCEFA6G,PRESSURE SENSOR 0-0.5 PSI GAUGE PCB MOUNT,,Honeywell Sensing,,Honeywell International
06R213AC,PNEUMATIC REGULATOR 1/4 NPT 0-125 PSI,PARKER,Parker Hannifin,,
700-HA32A24,RELAY 24VAC 10A 2PDT OCTAL TUBE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
RPM31BD,POWER RELAY 15A 3PDT 24VDC WITH LED,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RU2116-1BB0,THERMAL OVERLOAD RELAY 1.4-2.0A SIZE S00,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
E57-18LE12-A,PROX SENSOR INDUCTIVE M18 12MM NPN NO,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP-E 24/2.5,POWER SUPPLY 24VDC 2.5A 100-240VAC IN,ABB,ABB Installation,BALDOR,ABB Inc
HIH-4000-001,HUMIDITY SENSOR ANALOG VOLTAGE OUTPUT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
F442-10-10,HYDRAULIC HOSE FITTING FEMALE JIC 5/8 TUBE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140U-J0D3-C40-11,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100-11,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0-11,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H-11,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3-11,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX-11,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2-11,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104-12,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434-12,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2-12,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10-12,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13-12,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B-12,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC-12,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2-13,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12-13,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20-13,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
C25DNF340A-13,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4-13,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100-13,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49-13,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01-14,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD-14,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0-14,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD-14,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10-14,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1-14,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111-14,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50-15,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22-15,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10-15,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15-15,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4-15,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA-15,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4-15,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E-16,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R-16,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02-16,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C-16,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A-16,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J-16,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC-16,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A-17,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21-17,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2-17,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G-17,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11-17,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2-17,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49-17,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB-18,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120-18,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41-18,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP-18,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T-18,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
SS49E-18,LINEAR HALL EFFECT SENSOR 3-PIN RADIAL,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
341N01-18,VALVE SOLENOID 2-WAY NC 1/4 NPT BRASS 120V,PARKER,Parker Hannifin,PARKER,Parker Hannifin
5069-IB16-19,COMPACT 5000 16PT 24VDC INPUT MODULE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
ATV320U15N4B-19,ALTIVAR 320 VFD 2HP 480V 3PH COMPACT,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3VA5110-4EC31-0AA0-19,MOLDED CASE CIR BRKR 100A 3P 480V 25KA,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
PSG240E24RM-19,POWER SUPPLY 24VDC 10A 240W DIN RAIL,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
S203-C20-19,MINIATURE CIR BRKR 20A 3P 480Y/277V C CURVE,ABB,,BALDOR,ABB Inc
24PCEFA6G-19,PRESSURE SENSOR 0-0.5 PSI GAUGE PCB MOUNT,,Honeywell Sensing,,Honeywell International
06R213AC-19,PNEUMATIC REGULATOR 1/4 NPT 0-125 PSI,PARKER,Parker Hannifin,,
700-HA32A24-20,RELAY 24VAC 10A 2PDT OCTAL TUBE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
RPM31BD-20,POWER RELAY 15A 3PDT 24VDC WITH LED,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RU2116-1BB0-20,THERMAL OVERLOAD RELAY 1.4-2.0A SIZE S00,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
E57-18LE12-A-20,PROX SENSOR INDUCTIVE M18 12MM NPN NO,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP-E 24/2.5-20,POWER SUPPLY 24VDC 2.5A 100-240VAC IN,ABB,ABB Installation,BALDOR,ABB Inc
HIH-4000-001-20,HUMIDITY SENSOR ANALOG VOLTAGE OUTPUT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
F442-10-10-20,HYDRAULIC HOSE FITTING FEMALE JIC 5/8 TUBE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140U-J0D3-C40-21,CIR BRKR 40A 3P 600V MOLDED CASE,ALLEN BRADLEY,,ROCKWELL,Rockwell Automation
QO3100-21,CIR BRKR 100A 3P 240V PLUG-IN 10KA,,Schneider Electric,,Schneider Electric
3SU1000-0AB10-0AA0-21,PUSHBUTTON 22MM ROUND PLASTIC BLACK FLUSH,SIEMENS,Siemens AG,,
BAB3030H-21,CIR BRKR 30A 3P 240V BOLT-ON 10KA,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
OT16F3-21,DISCONNECT SWITCH 3P 16A DOOR MOUNT,ABB,ABB Installation,BALDOR,ABB Inc
PX2AN1XX150PSAAX-21,HEAVY DUTY PRESSURE TRANSDUCER 150 PSI,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PL-4-2-21,PUSH-TO-CONNECT FITTING 1/4 TUBE X 1/8 NPT MALE,PARKER,Parker Hannifin,PARKER,Parker Hannifin
25B-D010N104-22,POWERFLEX 525 VFD 5HP 480VAC 3PH,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
PKF16M434-22,PRATIKE INDUSTRIAL PLUG 16A 3P+E 400V IP44,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6GK5005-0BA00-1AB2-22,SCALANCE X005 UNMANAGED IE SWITCH 5 RJ45,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
FNQ-R-10-22,CLASS CC TIME DELAY FUSE 10A 600V,EATON,,CUTLER-HAMMER,Eaton
AF16-30-10-13-22,CONTACTOR 16A 100-250VAC/DC 3P 1NO,,ABB Installation,,ABB Inc
GLAC01A1B-22,GLOBAL LIMIT SWITCH 1NC/1NO SPDT SNAP ACTION,HONEYWELL,Honeywell Sensing,,
06L22AC-22,PNEUMATIC LUBRICATOR 1/4 NPT STANDARD MIST,PARKER,Parker Hannifin,PARKER,Parker Hannifin
42EF-D1MNAK-A2-23,PHOTOSENSOR RETRO 24VDC NPN/PNP 2M,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
XMLB010A2S12-23,PRESSURE SWITCH 10 BAR ADJUSTABLE SCALE,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6EP1333-2BA20-23,SITOP POWER SUPPLY 24VDC 5A 120/230VAC,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
C25DNF340A-23,DEFINITE PURPOSE CONTACTOR 40A 3P 120VAC,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CR-M024DC4-23,PLUG-IN MINIATURE RELAY 4PDT 6A 24VDC,ABB,ABB Installation,BALDOR,ABB Inc
CSNE151-100-23,CLOSED LOOP CURRENT SENSOR 25A PCB MOUNT,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
P2LBX512ESNDDB49-23,VALVE SOLENOID 24VDC 5/2 WAY 1/4 NPT,PARKER,,PARKER,Parker Hannifin
100-C09EJ01-24,CONTACTOR 9A 24VDC 1NC 3P IEC,,Allen-Bradley,,Rockwell Automation
LC1D25BD-24,CONTACTOR 25A 24VDC 3P TEESYS D,SQUARE D,Schneider Electric,,
6ES7214-1AG40-0XB0-24,SIMATIC S7-1200 CPU 1214C DC/DC/DC 14DI/10DQ/2AI,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
XTCE018C10TD-24,CONTACTOR 18A 24VDC 1NO 3P FRAME C,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
CP1-10G-10-24,PUSHBUTTON 22MM COMPACT GREEN FLUSH 1NO,ABB,ABB Installation,BALDOR,ABB Inc
14CE2-1-24,COMPACT ENCLOSED SWITCH ROLLER PLUNGER 1M,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
PS1-E111-24,PNEUMATIC PRESSURE SWITCH 1-10 BAR DIN CONNECTOR,PARKER,Parker Hannifin,PARKER,Parker Hannifin
140G-G6C3-C50-25,MOLDED CASE CIR BRKR 50A 3P 480V,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
LADN22-25,AUXILIARY CONTACT BLOCK 2NO+2NC TEESYS,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3RV2011-1AA10-25,CIR BRKR SIZE S00 FOR MOTOR PROT 0.9-1.25A,SIEMENS,,SIEMENS,Siemens Industry
KTK-R-15-25,CLASS CC FAST ACTING FUSE 15A 600V,,Eaton Bussmann,,Eaton
ACS380-040S-02A6-4-25,MACHINERY DRIVE 1HP 480V 3PH IP20,ABB,ABB Installation,,
AML21BBA2AA-25,PUSHBUTTON PUSH-ON/PUSH-OFF SQUARE ILLUM,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
MA33D-1/4-25,PRESSURE GAUGE 0-160 PSI 1/4 NPT BACK MOUNT,PARKER,Parker Hannifin,PARKER,Parker Hannifin
1756-L83E-26,CONTROLLOGIX 5580 CONTROLLER 10MB,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
TM221CE16R-26,MODICON M221 PLC 16 IO RELAY ETHERNET,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3SE5112-0CD02-26,LIMIT SWITCH METAL ENCLOSURE ROLLER PLUNGER,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
DG1-34012FB-C21C-26,POWERXL DG1 VFD 7.5HP 480V IP21,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
XT2N 125 EKIP LS/I IN=25A-26,TMAX XT2 CIR BRKR 25A 3P 600V,ABB,ABB Installation,BALDOR,ABB Inc
SZL-VL-S-J-26,MINIATURE LIMIT SWITCH CROSS ROLLER PLUNGER,HONEYWELL,,HONEYWELL,Honeywell International
06F22AC-26,PNEUMATIC FILTER 1/4 NPT 5 MICRON COMPACT,,Parker Hannifin,,Parker Hannifin
800T-A1A-27,PUSHBUTTON 30.5MM MOMENTARY BLACK FLUSH,ALLEN BRADLEY,Allen-Bradley,,
XB4BA21-27,PUSHBUTTON 22MM FLUSH BLACK SPRING RETURN,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
6SL3210-1KE13-2UB2-27,SINAMICS G120C 1.5KW 400V 3AC PROFINET,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
M22-D-G-27,PUSHBUTTON 22.5MM NON-ILLUM GREEN FLUSH,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
TA25DU-11-27,THERMAL OVERLOAD RELAY 7.5-11A FOR AF09-AF38,ABB,ABB Installation,BALDOR,ABB Inc
MICRO SWITCH BZ-2RW82-A2-27,PREMIUM LARGE BASIC SWITCH SPDT 15A 125V,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
DX1-411-BL49-27,ISO 5599-1 SIZE 1 VALVE 5/2 SINGLE SOLENOID 24VDC,PARKER,Parker Hannifin,PARKER,Parker Hannifin
193-EEB-28,ELECTRONIC OVERLOAD RELAY 1-5A,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
QO120-28,CIR BRKR 20A 1P 120V PLUG-IN 10KA,SQUARE D,,SQUARED,Schneider Electric
3RT2015-1BB41-28,POWER CONTACTOR 7A 24VDC 3P S00 SCREW,,Siemens AG,,Siemens Industry
LPJ-30SP-28,LOW-PEAK TIME DELAY FUSE 30A 600V DUAL ELEM,EATON,Eaton Bussmann,,
EM3558T-28,BALDOR RELIANCE MOTOR 3HP 1800RPM 3PH 56C TEFC,ABB,ABB Installation,BALDOR,ABB Inc
SS49E-28,LINEAR HALL EFFECT SENSOR 3-PIN RADIAL,HONEYWELL,Honeywell Sensing,HONEYWELL,Honeywell International
341N01-28,VALVE SOLENOID 2-WAY NC 1/4 NPT BRASS 120V,PARKER,Parker Hannifin,PARKER,Parker Hannifin
5069-IB16-29,COMPACT 5000 16PT 24VDC INPUT MODULE,ALLEN BRADLEY,Allen-Bradley,ROCKWELL,Rockwell Automation
ATV320U15N4B-29,ALTIVAR 320 VFD 2HP 480V 3PH COMPACT,SQUARE D,Schneider Electric,SQUARED,Schneider Electric
3VA5110-4EC31-0AA0-29,MOLDED CASE CIR BRKR 100A 3P 480V 25KA,SIEMENS,Siemens AG,SIEMENS,Siemens Industry
PSG240E24RM-29,POWER SUPPLY 24VDC 10A 240W DIN RAIL,EATON,Eaton Bussmann,CUTLER-HAMMER,Eaton
S203-C20-29,MINIATURE CIR BRKR 20A 3P 480Y/277V C CURVE,ABB,,BALDOR,ABB Inc
24PCEFA6G-29,PRESSURE SENSOR 0-0.5 PSI GAUGE PCB MOUNT,,Honeywell Sensing,,Honeywell International
06R213AC-29,PNEUMATIC REGULATOR 1/4 NPT 0-125 PSI,PARKER,Parker Hannifin,,
